"Категория","Предмет","Оборачиваемость дни","Доступность товара для клиента"
"Красота","Спонжи","53","Дефицит товара"
"Игрушки","Мягкие игрушки","14","Дефицит товара"
"Одежда","Бермуды","261","Избыток товара"
"Спецодежда и СИЗы","Жилеты медицинские","40","Дефицит товара"
"Рукоделие","Глина для лепки","24","Дефицит товара"
"Автомобильные товары","Масленки для смазки","26","Дефицит товара"
"Спортивный товар","Плоскогубцы рыболовные","35","Дефицит товара"
"Техника для кухни","Аксессуары для духовок","13","Дефицит товара"
"Бытовая техника","Фрезы для маникюра","31","Дефицит товара"
"Строительные материалы","Пенополистирол","999","Избыток товара"
"Спортивный товар","Велоинструменты","114","Нормальная доступность товара"
"Товары для малышей","Постельное белье для малышей","29","Дефицит товара"
"Посуда и инвентарь","Соусники","24","Дефицит товара"
"Красота","Колпачки для пигментов","24","Дефицит товара"
"Автомобильные товары","Блоки управления вентилятора","6","Дефицит товара"
"Спортивный товар","Карабины","61","Нормальная доступность товара"
"Посуда и инвентарь","Нити кулинарные","12","Дефицит товара"
"Дом","Упоры поясничные","30","Дефицит товара"
"Строительные материалы","Панели для кухонных фартуков","27","Дефицит товара"
"Игрушки","Погремушки","48","Дефицит товара"
"Здоровье","Аптечки","48","Дефицит товара"
"Мебель","Стеллажи детские","4","Дефицит товара"
"Сетевое оборудование","PoE инжекторы","66","Нормальная доступность товара"
"Канцелярские товары","Стикеры 18+","12","Дефицит товара"
"Товары для отдыха и кемпинга","Ремкомплекты для бассейнов","54","Дефицит товара"
"Электроника","Охладители для бутылок","18","Дефицит товара"
"Садовая техника","Переходники для бассейна","16","Дефицит товара"
"Товары для животных","Толстовки для животных","57","Дефицит товара"
"Строительные материалы","Держатели для вентканалов","0","Дефицит товара"
"Строительные инструменты","Уровни строительные","14","Дефицит товара"
"Профессиональные музыкальные инструменты","Флейты","14","Дефицит товара"
"Дом","Ершовая загрузка","0","Дефицит товара"
"Спортивный товар","Леска рыболовная","42","Дефицит товара"
"Техника для кухни","Измельчители электрические","25","Дефицит товара"
"Красота","Краски для бровей и ресниц","49","Дефицит товара"
"Товары для животных","Присоски для аквариумов","21","Дефицит товара"
"Автомобильные товары","Прокладки картера","0","Дефицит товара"
"Хозяйственные товары","Средства для обоев и стен","29","Дефицит товара"
"Одежда для малышей","Халаты банные для малышей","36","Дефицит товара"
"Товары для малышей","Автокресла детские","18","Дефицит товара"
"Профессиональные музыкальные инструменты","Горны музыкальные","1","Дефицит товара"
"Одежда для малышей","Свитеры для малышей","42","Дефицит товара"
"Все для садоводства","Бактерии для переработки навоза","26","Дефицит товара"
"Для праздника","Елки","3","Дефицит товара"
"Красота","Держатели зубной нити","0","Дефицит товара"
"Красота","Уход за зубными протезами","36","Дефицит товара"
"Фото и Видеотехника","Контроллеры видеосигнала","5","Дефицит товара"
"Телевизоры и аудиотехника","Диктофоны","30","Дефицит товара"
"Красота","Молочко","46","Дефицит товара"
"Строительные материалы","Бумага наждачная","18","Дефицит товара"
"Техника для кухни","Запчасти для плит","5","Дефицит товара"
"Автомобильные товары","Соединительные элементы","999","Избыток товара"
"Одежда","Пуховики","56","Дефицит товара"
"Мебель","Столы","11","Дефицит товара"
"Сетевое оборудование","Модемы","11","Дефицит товара"
"Белье для малышей","Кальсоны для малышей","92","Нормальная доступность товара"
"Все для садоводства","Саженцы","2","Дефицит товара"
"Рукоделие","Колодки портновские","8","Дефицит товара"
